feature,importance
RP4-595K12.1,0.06754727249489395
CLC,0.0548950578053711
CYP4F3,0.04305243215769532
PIN1,0.04175075573684727
S100A4,0.03858323048927235
YIF1B,0.038143180040072895
INPP5A,0.037357498127000004
PRPF31,0.027685351734488245
FEM1A,0.027005743624923792
SELM,0.025596057451320604
CDK9,0.023452213517120454
SAFB,0.02317291086064582
BCAT2,0.02259633300918774
DRAP1,0.02224829472329472
NDUFA4L2,0.02209916566307544
DEDD,0.021842885793343106
MDP1,0.02074106509036163
TOMM22,0.01981308637321895
UBE2S,0.018424397141502406
GYPC,0.01808681241425467
DNM3,0.016529188260173248
TEAD2,0.01598262104031335
S100A12,0.015906712620095163
STUB1,0.015423076923076927
LMAN2,0.015021268586485977
PGAP2,0.012566835487888119
PHPT1,0.012287497168823082
ALYREF,0.01223841635478879
NEURL1B,0.012060665844132281
S100A9,0.01097203608496131
BMP7,0.010957916352653196
P4HA1,0.010398300682840155
RPL3L,0.00986051911051911
CNN3,0.009645148095458323
TPSAB1,0.009625952875952876
RPN1,0.009467105263157893
TPSB2,0.009311105278210541
FXN,0.009213418160786581
NAIP,0.009099404761904763
CS,0.00908108108108108
CTDNEP1,0.008416616716616717
LSM4,0.008380952380952381
CCSAP,0.008004464285714285
TRA2A,0.00799780268072951
MIR4680,0.007813921063921064
RAD23B,0.007259732095511448
PROK2,0.0072546815846403455
AMICA1,0.007017543859649124
SERPINA1,0.006522962812436497
age,0.006445416096578886
S100A6,0.006241805686090225
DOCK1,0.005919587607087606
EVI2B,0.004790576672929614
OSER1-AS1,0.0038770822586612053
CA4,0.0038459289495786685
CXCR2,0.0035225225225225232
GFI1,0.003237122252747252
LOC100996517,0.00294504964812494
CMTM2,0.0029202940833236084
CALM1,0.0026050650738150727
PTRF,0.0024324324324324327
AMFR,0.002270394736842106
LRRC75A-AS1,0.002263313609467457
PKN1,0.002254495666776369
TSR3,0.002207792207792208
FCGR3B,0.002144144144144144
ACTB,0.001818151147098515
ETS1,0.001791187739463601
UBE2M,0.0017894736842105272
SUDS3,0.001764146477304373
PKDCC,0.0017229729729729732
NDUFB7,0.0016527777777777778
NUTF2,0.0016131007040097944
ANXA6,0.0013765182186234815
S100A8,0.0010119047619047618
NRBP1,0.001005917159763313
MNDA,0.0009579463633517699
MS4A4A,0.0009189189189189192
MCOLN1,0.0009189189189189192
LOC101930301,0.0009189189189189192
GNB1,0.0008854166666666666
HCST,0.0008317550505050504
FCER1G,0.0006882591093117407
NEIL2,0.0
DHRS9,0.0
DEXI,0.0
LSM2,0.0
TMEM88,0.0
PCBP2,0.0
FCN1,0.0
GLUL,0.0
FAM65B,0.0
RXRG,0.0
LOC100996696,0.0
CD300LG,0.0
TTLL1,0.0
ACLY,0.0
MS4A2,0.0
NCF2,0.0
TYROBP,0.0
C1QC,0.0
gender,0.0
